fen,moves,rating,themes,gameurl,moves_alg,final_fen,fen_after_first_move,placement,active,castling,enpassant,number_of_pieces,positions,id
3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,978,crushing fork middlegame short,https://lichess.org/IajkZZBp/black#48, Rd7 Nxf6+ Qxf6 Qxf6,6k1/3r4/pp3Q2/2b1n3/P7/2P5/1P4PP/R6K b - - 0 26,3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K w - - 1 25,3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K,w,-,-,17,"R a1, P a4, p a6, P b2, p b6, P c3, b c5, r d7, q d8, N e4, n e5, p f6, P g2, k g8, K h1, P h2, Q h6",33
8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57,b5a6 c7d8 a6b5 g7f5,2151,crushing endgame short,https://lichess.org/sMrTPfXp#113, Ka6 Kd8 Kb5 Nf5,3k4/8/3p2p1/1KpP1nPp/2P4P/7B/8/8 w - - 4 59,8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8 b - - 1 57,8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8,b,-,-,12,"K a6, P c4, p c5, k c7, P d5, p d6, P g5, p g6, n g7, B h3, P h4, p h5",34
2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1476,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54, hxg6 Qh8#,2q3kQ/4br2/6p1/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 1 28,2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1,w,-,-,16,"B b2, P b3, p b5, q c8, n d5, P e2, b e7, P f2, r f7, K g1, P g3, p g5, p g6, k g8, P h4, Q h6",35
3r1rk1/1pR3pp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 w - - 2 27,c7g7 g8g7 h3g3 g7h8,1399,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/IqVPsfjB#53, Rxg7+ Kxg7 Qg3+ Kh8,3r1r1k/1p5p/p2bp3/1q2Np2/3P4/1P4Q1/5PPP/4R1K1 w - - 2 29,3r1rk1/1p4Rp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 b - - 0 27,3r1rk1/1p4Rp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1,b,-,-,20,"p a6, P b3, q b5, p b7, P d4, b d6, r d8, R e1, N e5, p e6, P f2, p f5, r f8, K g1, P g2, R g7, k g8, P h2, Q h3, p h7",36
r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,758,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64, Nxc4 Rxa8+ Qb8 Rxb8#,1R5k/6pp/8/2p5/2np4/7P/2PB1PP1/6K1 b - - 0 34,r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33,r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1,w,-,-,15,"R a4, r a8, P c2, n c4, p c5, q c7, B d2, p d4, P f2, K g1, P g2, p g7, P h3, p h7, k h8",37
2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1440,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49, Nxe6+ fxe6 Qb7+ Kh8,2rr3k/1Q6/p3p1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 2 27,2rr4/5pk1/p1Q1N1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK b - - 0 25,2rr4/5pk1/p1Q1N1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK,b,-,-,22,"P a2, p a6, P b2, B b3, p b5, P c2, Q c6, r c8, P d3, p d4, r d8, P e4, N e6, p f7, R g1, P g2, q g5, p g6, k g7, K h1, P h2, p h6",38
r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,2024,crushing endgame sacrifice veryLong,https://lichess.org/Prb24UzR/black#64, Rh5 Rxg6+ fxg6 Rxg6+ Kf7 Qg7+ Ke8 Qg8+ Kd7 Qe6+ Kd8 Rg8+,r2k2R1/2p1p3/pp2Q3/1q5r/5P2/3P4/PP6/1K6 b - - 8 38,r5k1/2p1pp2/pp4p1/1q5r/5P2/2QP2R1/PP6/1K4R1 w - - 1 33,r5k1/2p1pp2/pp4p1/1q5r/5P2/2QP2R1/PP6/1K4R1,w,-,-,18,"P a2, p a6, r a8, K b1, P b2, q b5, p b6, Q c3, p c7, P d3, p e7, P f4, p f7, R g1, R g3, p g6, k g8, r h5",39
8/8/1p1k1p1p/3npp2/2B5/PP1K1PP1/7P/8 b - - 0 36,f5f4 c4d5 f4g3 h2g3 d6d5 g3g4,2247,crushing defensiveMove endgame long,https://lichess.org/RMj9gStA/black#72, f4 Bxd5 fxg3 hxg3 Kxd5 g4,8/8/1p3p1p/3kp3/6P1/PP1K1P2/8/8 b - - 0 39,8/8/1p1k1p1p/3np3/2B2p2/PP1K1PP1/7P/8 w - - 0 37,8/8/1p1k1p1p/3np3/2B2p2/PP1K1PP1/7P/8,w,-,-,14,"P a3, P b3, p b6, B c4, K d3, n d5, k d6, p e5, P f3, p f4, p f6, P g3, P h2, p h6",40
6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,1016,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54, Rxd1 Qb8+ Qe8 Qxe8#,4Q1k1/pp3pp1/2p3Pp/3b4/8/8/PB3Pp1/3r1NK1 b - - 0 29,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3r1NK1 w - - 0 28,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3r1NK1,w,-,-,18,"P a2, p a7, B b2, p b7, p c6, r d1, b d5, q e6, N f1, P f2, p f7, K g1, p g2, Q g3, P g6, p g7, k g8, p h6",41
r2q1r1k/2p3p1/pb2Q2p/1p1p1n2/8/1BP5/PP1B1PPP/3RR1K1 w - - 3 20,b3d5 b6f2 g1f2 f5d4 f2g1 d4e6,1744,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/ZyuTEP3l#39, Bxd5 Bxf2+ Kxf2 Nd4+ Kg1 Nxe6,r2q1r1k/2p3p1/p3n2p/1p1B4/8/2P5/PP1B2PP/3RR1K1 w - - 0 23,r2q1r1k/2p3p1/pb2Q2p/1p1B1n2/8/2P5/PP1B1PPP/3RR1K1 b - - 0 20,r2q1r1k/2p3p1/pb2Q2p/1p1B1n2/8/2P5/PP1B1PPP/3RR1K1,b,-,-,23,"P a2, p a6, r a8, P b2, p b5, b b6, P c3, p c7, R d1, B d2, B d5, q d8, R e1, Q e6, P f2, n f5, r f8, K g1, P g2, p g7, P h2, p h6, k h8",42
r1q3k1/4bppp/pp2pn2/4B3/8/2N2Q2/PPPR1PPP/6K1 b - - 0 18,f6d7 d2d7 c8d7 f3a8,1569,crushing deflection middlegame short,https://lichess.org/LNdzAgWP/black#36, Nd7 Rxd7 Qxd7 Qxa8+,Q5k1/3qbppp/pp2p3/4B3/8/2N5/PPP2PPP/6K1 b - - 0 20,r1q3k1/3nbppp/pp2p3/4B3/8/2N2Q2/PPPR1PPP/6K1 w - - 1 19,r1q3k1/3nbppp/pp2p3/4B3/8/2N2Q2/PPPR1PPP/6K1,w,-,-,22,"P a2, p a6, r a8, P b2, p b6, P c2, N c3, q c8, R d2, n d7, B e5, p e6, b e7, P f2, Q f3, p f7, K g1, P g2, p g7, k g8, P h2, p h7",43
1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1387,endgame mate mateIn2 short,https://lichess.org/ibb2c72C#61, Qxc6 b3+ Ka3 Qa1#,1r6/5k2/2Q1pNp1/p5Pp/4P2P/KpP4R/1P3P2/q7 w - - 2 33,1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 0 31,1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4,b,-,-,18,"K a2, p a5, P b2, p b4, r b8, P c3, Q c6, q d1, P e4, p e6, P f2, N f6, k f7, P g5, p g6, R h3, P h4, p h5",44
1k1r3r/2q5/pp1n2p1/8/1Q6/3R2P1/PPP2P1P/3R2K1 b - - 4 29,c7c5 b4c5 b6c5 d3d6 d8d6 d1d6,1537,crushing long middlegame,https://lichess.org/ceS0QvtT/black#58, Qc5 Qxc5 bxc5 Rxd6 Rxd6 Rxd6,1k5r/8/p2R2p1/2p5/8/6P1/PPP2P1P/6K1 b - - 0 32,1k1r3r/8/pp1n2p1/2q5/1Q6/3R2P1/PPP2P1P/3R2K1 w - - 5 30,1k1r3r/8/pp1n2p1/2q5/1Q6/3R2P1/PPP2P1P/3R2K1,w,-,-,18,"P a2, p a6, P b2, Q b4, p b6, k b8, P c2, q c5, R d1, R d3, n d6, r d8, P f2, K g1, P g3, p g6, P h2, r h8",45
r5kr/pp1qb1p1/2p4p/3pPb1Q/3P4/2P1B3/PP4PP/R4RK1 b - - 1 17,f5e4 h5f7 g8h7 f1f6 e7f6 f7d7,2317,advantage long middlegame pin,https://lichess.org/Ynra1LLE/black#34, Be4 Qf7+ Kh7 Rf6 Bxf6 Qxd7,r6r/pp1Q2pk/2p2b1p/3pP3/3Pb3/2P1B3/PP4PP/R5K1 b - - 0 20,r5kr/pp1qb1p1/2p4p/3pP2Q/3Pb3/2P1B3/PP4PP/R4RK1 w - - 2 18,r5kr/pp1qb1p1/2p4p/3pP2Q/3Pb3/2P1B3/PP4PP/R4RK1,w,-,-,24,"R a1, P a2, p a7, r a8, P b2, p b7, P c3, p c6, P d4, p d5, q d7, B e3, b e4, P e5, b e7, R f1, K g1, P g2, p g7, k g8, P h2, Q h5, p h6, r h8",46
8/8/2p2k2/1p1p4/3P4/1PP1pK2/8/8 b - - 3 64,f6f5 b3b4,1369,defensiveMove endgame equality oneMove pawnEndgame,https://lichess.org/2cHqPgSG/black#128, Kf5 b4,8/8/2p5/1p1p1k2/1P1P4/2P1pK2/8/8 b - - 0 65,8/8/2p5/1p1p1k2/3P4/1PP1pK2/8/8 w - - 4 65,8/8/2p5/1p1p1k2/3P4/1PP1pK2/8/8,w,-,-,9,"P b3, p b5, P c3, p c6, P d4, p d5, p e3, K f3, k f5",47
3Q4/5kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 w - - 7 49,d8d7 f7f6 d7d8 f6f5,1215,defensiveMove endgame equality short,https://lichess.org/yJzYpNj0#97, Qd7+ Kf6 Qd8+ Kxf5,3Q4/6r1/8/1P2pk2/2Pp1n2/q2P3P/7K/5R2 w - - 0 51,8/3Q1kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 b - - 8 49,8/3Q1kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2,b,-,-,14,"q a3, P b5, P c4, P d3, p d4, Q d7, p e5, R f1, n f4, B f5, k f7, r g7, K h2, P h3",48
r4rk1/ppq2ppp/2nbp1b1/3p4/3Pn3/2PB1N1P/PP3PP1/R1BQRNK1 b - - 4 14,e4f2 g1f2 g6d3 d1d3,987,advantage hangingPiece middlegame short,https://lichess.org/SHqFVu02/black#28, Nxf2 Kxf2 Bxd3 Qxd3,r4rk1/ppq2ppp/2nbp3/3p4/3P4/2PQ1N1P/PP3KP1/R1B1RN2 b - - 0 16,r4rk1/ppq2ppp/2nbp1b1/3p4/3P4/2PB1N1P/PP3nP1/R1BQRNK1 w - - 0 15,r4rk1/ppq2ppp/2nbp1b1/3p4/3P4/2PB1N1P/PP3nP1/R1BQRNK1,w,-,-,29,"R a1, P a2, p a7, r a8, P b2, p b7, B c1, P c3, n c6, q c7, Q d1, B d3, P d4, p d5, b d6, R e1, p e6, N f1, n f2, N f3, p f7, r f8, K g1, P g2, b g6, p g7, k g8, P h3, p h7",49
3q1nk1/1bN2rpp/pp1P4/1N6/4n2b/8/PPP2PPP/R1BQ1RK1 w - - 1 16,b5d4 h4f2 f1f2 e4f2,1743,advantage kingsideAttack master middlegame short,https://lichess.org/aqhibPRF#31, Nd4 Bxf2+ Rxf2 Nxf2,3q1nk1/1bN2rpp/pp1P4/8/3N4/8/PPP2nPP/R1BQ2K1 w - - 0 18,3q1nk1/1bN2rpp/pp1P4/8/3Nn2b/8/PPP2PPP/R1BQ1RK1 b - - 2 16,3q1nk1/1bN2rpp/pp1P4/8/3Nn2b/8/PPP2PPP/R1BQ1RK1,b,-,-,25,"R a1, P a2, p a6, P b2, p b6, b b7, B c1, P c2, N c7, Q d1, N d4, P d6, q d8, n e4, R f1, P f2, r f7, n f8, K g1, P g2, p g7, k g8, P h2, b h4, p h7",50
rk5r/1b3R2/pp2p2q/4P2p/B2p3B/4R2P/PP4P1/5Q1K b - - 0 27,d4e3 f7b7 b8b7 f1f7 b7b8 h4e7,2336,attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice,https://lichess.org/mXf4gFYU/black#54, dxe3 Rxb7+ Kxb7 Qf7+ Kb8 Be7,rk5r/4BQ2/pp2p2q/4P2p/B7/4p2P/PP4P1/7K b - - 3 30,rk5r/1b3R2/pp2p2q/4P2p/B6B/4p2P/PP4P1/5Q1K w - - 0 28,rk5r/1b3R2/pp2p2q/4P2p/B6B/4p2P/PP4P1/5Q1K,w,-,-,20,"P a2, B a4, p a6, r a8, P b2, p b6, b b7, k b8, p e3, P e5, p e6, Q f1, R f7, P g2, K h1, P h3, B h4, p h5, q h6, r h8",51
8/6pk/7p/p1p4P/P2p2R1/1P3q1K/2P3R1/8 w - - 11 58,g2g3 f3h1,1305,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/6wQhCffQ#115, R2g3 Qh1#,8/6pk/7p/p1p4P/P2p2R1/1P4RK/2P5/7q w - - 13 59,8/6pk/7p/p1p4P/P2p2R1/1P3qRK/2P5/8 b - - 12 58,8/6pk/7p/p1p4P/P2p2R1/1P3qRK/2P5/8,b,-,-,14,"P a4, p a5, P b3, P c2, p c5, p d4, q f3, R g3, R g4, p g7, K h3, P h5, p h6, k h7",52
4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34,d2g5 e8e1 f3f1 e1f1,994,endgame mate mateIn2 short,https://lichess.org/L9kH7FqT#67, Bxg5 Re1+ Qf1 Rxf1#,6k1/p4p1p/1p6/6B1/3P2n1/P7/1P4P1/5r1K w - - 0 36,4r1k1/p4p1p/1p6/6B1/3P2n1/P4Q2/1P4P1/7K b - - 0 34,4r1k1/p4p1p/1p6/6B1/3P2n1/P4Q2/1P4P1/7K,b,-,-,14,"P a3, p a7, P b2, p b6, P d4, r e8, Q f3, p f7, P g2, n g4, B g5, k g8, K h1, p h7",53
2kr3r/p1p1bpp1/2p2n1p/8/8/1P6/P1P1RPPP/RNB3K1 w - - 1 16,e2e7 d8d1 e7e1 d1e1,980,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/f4f7UwiT#31, Rxe7 Rd1+ Re1 Rxe1#,2k4r/p1p2pp1/2p2n1p/8/8/1P6/P1P2PPP/RNB1r1K1 w - - 0 18,2kr3r/p1p1Rpp1/2p2n1p/8/8/1P6/P1P2PPP/RNB3K1 b - - 0 16,2kr3r/p1p1Rpp1/2p2n1p/8/8/1P6/P1P2PPP/RNB3K1,b,-,-,21,"R a1, P a2, p a7, N b1, P b3, B c1, P c2, p c6, p c7, k c8, r d8, R e7, P f2, n f6, p f7, K g1, P g2, p g7, P h2, p h6, r h8",54
2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/R4RK1 w - - 0 31,a1c1 e5g5 g2g3 c8c1,2121,crushing endgame short,https://lichess.org/id1brvZc#61, Rac1 Qg5 g3 Rxc1,6rk/5p2/4p2p/6q1/1Q6/6P1/1P3P1P/2r2RK1 w - - 0 33,2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/2R2RK1 b - - 1 31,2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/2R2RK1,b,-,-,15,"P b2, Q b4, R c1, r c8, q e5, p e6, R f1, P f2, p f7, K g1, P g2, r g8, P h2, p h6, k h8",55
r1bq3Q/1np2kp1/p5B1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 b - - 5 35,f7g6 h8h5 g6f6 f4g5,1802,mate mateIn2 middlegame short,https://lichess.org/QveLbBjG/black#70, Kxg6 Qh5+ Kf6 Bg5#,r1bq4/1np3p1/p4k2/1p1Pp1BQ/1Pn3P1/2b2P2/P3K3/R4N2 b - - 3 37,r1bq3Q/1np3p1/p5k1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 w - - 0 36,r1bq3Q/1np3p1/p5k1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2,w,-,-,22,"R a1, P a2, p a6, r a8, P b4, p b5, n b7, b c3, n c4, p c7, b c8, P d5, q d8, K e2, p e5, N f1, P f3, B f4, P g4, k g6, p g7, Q h8",56
1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,600,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62, Rd1 Rf8+ Rd8 Rxd8#,1k1R4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3N1K1 b - - 0 33,1k6/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B2rNRK1 w - - 5 32,1k6/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B2rNRK1,w,-,-,18,"B a1, P a3, p a7, P b5, p b7, k b8, P c2, p c7, r d1, N e1, r e2, n e3, R f1, K g1, P g2, p g7, P h3, p h5",57
8/6pp/3Bp2k/p2pP2P/P2bp1PK/8/r7/5R2 b - - 2 37,d4f2 f1f2 g7g5 h4g3 a2f2 g3f2,1869,crushing endgame long,https://lichess.org/rah6MiKa/black#74, Bf2+ Rxf2 g5+ Kg3 Rxf2 Kxf2,8/7p/3Bp2k/p2pP1pP/P3p1P1/8/5K2/8 b - - 0 40,8/6pp/3Bp2k/p2pP2P/P3p1PK/8/r4b2/5R2 w - - 3 38,8/6pp/3Bp2k/p2pP2P/P3p1PK/8/r4b2/5R2,w,-,-,16,"r a2, P a4, p a5, p d5, B d6, p e4, P e5, p e6, R f1, b f2, P g4, p g7, K h4, P h5, k h6, p h7",58
7k/pb1qn2n/1p2R2Q/2p2p2/2Pp4/3B4/PP3PrP/4RK2 b - - 1 27,g2g7 h6g7 h8g7 e6e7 d7e7 e1e7,1867,attraction crushing exposedKing fork long middlegame,https://lichess.org/UdZXrVA5/black#54, Rg7 Qxg7+ Kxg7 Rxe7+ Qxe7 Rxe7+,8/pb2R1kn/1p6/2p2p2/2Pp4/3B4/PP3P1P/5K2 b - - 0 30,7k/pb1qn1rn/1p2R2Q/2p2p2/2Pp4/3B4/PP3P1P/4RK2 w - - 2 28,7k/pb1qn1rn/1p2R2Q/2p2p2/2Pp4/3B4/PP3P1P/4RK2,w,-,-,21,"P a2, p a7, P b2, p b6, b b7, P c4, p c5, B d3, p d4, q d7, R e1, R e6, n e7, K f1, P f2, p f5, r g7, P h2, Q h6, n h7, k h8",59
2rq1rk1/7p/1n4pb/1R2p3/pPpP1P2/P1B5/3NQ1PP/2R3K1 w - - 0 31,e2e5 f8e8 e5e8 d8e8,2105,crushing master middlegame short trappedPiece,https://lichess.org/tYO5rrIU#61, Qxe5 Re8 Qxe8+ Qxe8,2r1q1k1/7p/1n4pb/1R6/pPpP1P2/P1B5/3N2PP/2R3K1 w - - 0 33,2rq1rk1/7p/1n4pb/1R2Q3/pPpP1P2/P1B5/3N2PP/2R3K1 b - - 0 31,2rq1rk1/7p/1n4pb/1R2Q3/pPpP1P2/P1B5/3N2PP/2R3K1,b,-,-,22,"P a3, p a4, P b4, R b5, n b6, R c1, B c3, p c4, r c8, N d2, P d4, q d8, Q e5, P f4, r f8, K g1, P g2, p g6, k g8, P h2, b h6, p h7",60
4r1k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 3 32,e8e1 c7c8 e1e8 c8e8,1053,endgame mate mateIn2 short,https://lichess.org/APGKH8YH/black#64, Re1 Rc8+ Re8 Rxe8#,4R1k1/6pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 0 34,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3,w,-,-,16,"P a3, K b1, P b2, p b5, P c2, p c6, R c7, N d1, P d4, p d5, r e1, R f2, p g7, k g8, q h6, p h7",61
r1q4r/2p1kP2/3p4/2pPp3/p1P1Pb2/P1NB3b/1P3KP1/R2Q1R2 w - - 1 23,g2h3 c8h3 d1f3 h3h2 f3g2 f4e3 f2f3 h8h3 g2h3 h2h3,1999,advantage exposedKing middlegame veryLong,https://lichess.org/PsMgMg87#45, gxh3 Qxh3 Qf3 Qh2+ Qg2 Be3+ Kf3 Rh3+ Qxh3 Qxh3+,r7/2p1kP2/3p4/2pPp3/p1P1P3/P1NBbK1q/1P6/R4R2 w - - 0 28,r1q4r/2p1kP2/3p4/2pPp3/p1P1Pb2/P1NB3P/1P3K2/R2Q1R2 b - - 0 23,r1q4r/2p1kP2/3p4/2pPp3/p1P1Pb2/P1NB3P/1P3K2/R2Q1R2,b,-,-,23,"R a1, P a3, p a4, r a8, P b2, N c3, P c4, p c5, p c7, q c8, Q d1, B d3, P d5, p d6, P e4, p e5, k e7, R f1, K f2, b f4, P f7, P h3, r h8",62
r2qr1k1/p5bp/1pp1b1p1/8/2QN1p2/2P1n2P/PP3PP1/R1B1RNK1 w - - 1 18,d4e6 e3c4 e6d8 e8e1,1767,crushing discoveredAttack opening short,https://lichess.org/MOdm5bE7#35, Nxe6 Nxc4 Nxd8 Rxe1,r2N2k1/p5bp/1pp3p1/8/2n2p2/2P4P/PP3PP1/R1B1rNK1 w - - 0 20,r2qr1k1/p5bp/1pp1N1p1/8/2Q2p2/2P1n2P/PP3PP1/R1B1RNK1 b - - 0 18,r2qr1k1/p5bp/1pp1N1p1/8/2Q2p2/2P1n2P/PP3PP1/R1B1RNK1,b,-,-,25,"R a1, P a2, p a7, r a8, P b2, p b6, B c1, P c3, Q c4, p c6, q d8, R e1, n e3, N e6, r e8, N f1, P f2, p f4, K g1, P g2, p g6, b g7, k g8, P h3, p h7",63
3rk3/5p1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 b - - 4 25,e8e7 f2f7 h7f7 f1f7,1304,hookMate mate mateIn2 middlegame short,https://lichess.org/LJBrm9Or/black#50, Ke7 Rxf7+ Rxf7 Rxf7#,3r4/4kR2/p2Np1p1/3bP3/P2n4/8/1P4PP/6K1 b - - 0 27,3r4/4kp1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 w - - 5 26,3r4/4kp1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1,w,-,-,18,"P a4, p a6, P b2, n d4, b d5, N d6, r d8, P e5, p e6, k e7, R f1, R f2, p f7, K g1, P g2, p g6, P h2, r h7",64
6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59, Rd1 Rxd1#,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/5PPP/3r2K1 w - - 0 31,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/5PPP/2rR2K1 b - - 3 30,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/5PPP/2rR2K1,b,-,-,20,"P a3, p a7, P b4, n b6, b b7, r c1, R d1, p d5, p e4, r e7, P f2, R f4, K g1, P g2, B g6, p g7, k g8, P h2, p h6, N h7",65
